,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,n_articles
4451,Molde gunt Solskjaer langer verblijf bij Manchester United,Rashford helpt Manchester United aan zege in Leicester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
150,Weerbericht: heldere dag met in de avond kans op een bui,Weerbericht: een droge maar koude zondag,"Hou nog even vol, volgende week kans op temperaturen van 20 graden","Zomerse paasdagen in aantocht, maar hoe zit het met Koningsdag?",Volop zon én warmte met Pasen: mogelijk wel 25 graden,Lange warme periode verwacht na fris weekend,Weerbericht: een zonnige en zachte maandag,"Sneeuw gevallen in noordoosten van land, later mogelijk ook in Limburg",Paasweekend met veel zon en hoge temperaturen verwacht,,,,,,,,,,,,,,,,,,,,,,9
4547,Bezorg­schaam­te? Het is eerder tijd voor transportschaamte,Bezorgschaamte? De grootste drukte veroorzaken we nog altijd zelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
191,Portefeuillehouder diversiteit bij de politie: ‘We moeten leren luisteren naar de minderheid die zegt: dit doet pijn’,‘Geluk zit in de vrijheid te kunnen doen wat je wilt’,Opnieuw beginnen in het buitenland: 'Veel lastiger dan verwacht',Interview Robbert Dijkgraaf: 'We zijn te veel het hert dat in de koplampen staart',"Ja, ook jij hebt iets toe te voegen",Accountant Wouter: ‘De eerste honderd uur overwerken krijg ik niet uitbetaald’,"Begin je werkdag met de ergste taak, en nog 6 tips om uitstelgedrag aan te pakken",Afvaller Expeditie Robinson: 'Ik heb op mijn gemak afscheid kunnen nemen',,,,,,,,,,,,,,,,,,,,,,,8
4663,Venezuela accepteert humanitaire hulp van Rode Kruis,Venezuela bereikt akkoord met Rode Kruis over verdeling humanitaire hulp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3793,Politie zoekt slachtoffer na botsing met trein,Politie zocht slachtoffer na botsing met trein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
224,Kabinet onderschat energierekening huishoudens; Kamer onaangenaam verrast,Twijfel over doorrekening klimaatplannen,Planbureau slaat terug na blunder energierekening: verkeerde cijfers geen probleem,Waarom de kritiek op planbureaus propaganda is,Na energieblunder zijn de rekenmeesters ineens politiek doelwit,Kabinet blundert met achterhaalde raming van energierekening – hoe kan dat?,Planbureau onder vuur om oude cijfers: ‘Voorspellen is superingewikkeld’,,,,,,,,,,,,,,,,,,,,,,,,7
1897,Biertje? Dan riskeer je een boete in de Franse Ardèche,Biertje? Dan riskeer je een boete in dit deel van de Franse Ardèche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
531,Man opgepakt in verdwijningszaak Belgische studente Julie Van Espen,Lichaam vermiste Julie (23) gevonden: verdachte gearresteerd voor moord,Belgische agenten zoeken naar vermiste Julie Van Espen (23),Lichaam van vermiste Julie Van Espen (23) gevonden in kanaal bij Antwerpen,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3685,Man dreigt met bom op Schiphol: verdachte overmeesterd,"Bomdreiger Schiphol is Canadees (51), geen explosief gevonden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3378,Deutsche Bank gesommeerd informatie over financiën Trump te delen,Deutsche Bank wordt gesommeerd info over Trump te delen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3303,Dijksteel kijkt uit naar finale Charlton-Sunderland op vol Wembley,Sunderland-keeper Ruiter kijkt uit naar finale op Wembley: ‘Onze fans verdienen promotie’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3649,Visser betrapt met 667 kilo illegale oesters,Visser betrapt in Oosterschelde met 667 kilo illegaal geraapte oesters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3958,Van Galen stopt per direct als bondscoach waterpolomannen,Van Galen stopt als bondscoach waterpoloërs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4071,Tientallen mensen nemen afscheid van rapper Feis tijdens uitvaart,Gelaten sfeer bij afscheid rapper Feis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1426,"Ronaldo wil Marcelo naar Juve lokken, Balotelli op weg naar Marseille","Spurs denkt aan Andy Carroll, Real heeft Militao binnen","Danjuma volgend seizoen naar Milan, Ronaldo wil Marcelo naar Juve lokken",,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5226,Miedema maakt twintigste goal bij ruime zege op Liverpool,Miedema helpt Arsenal met twintigste goal aan koppositie in Super League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1458,Productie fosfaat van Nederlandse veehouders blijft weer onder EU-norm,De succesvolle strijd tegen fosfaat leidt ertoe dat er onbedoeld te veel stikstof wordt uitgestoten,"Minder fosfaat in dierlijke mest, wel te veel stikstof",,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5206,Porto klopt Roma na verlenging en bereikt kwartfinales Champions League,Porto klopt Roma vanaf de stip na ingrijpen VAR in verlenging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2025,Onderzoek: ‘Russen gebruikten alle grote sociale media om Trump te helpen’,Washington Post: ‘Rusland gebruikte alle grote sociale media om Trump president te maken’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1917,‘Naleving leeftijdsgrens alcohol iets beter’,'Een op drie supermarkten controleert leeftijd bij drankverkoop niet goed',,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
435,Hamilton en Vettel denken dat Verstappen in 2019 om wereldtitel kan strijden,Jos Verstappen: ‘Max heeft nog nooit zo goed in zijn vel gezeten’,Alleen Hamilton scoort na zomerstop beter dan Verstappen,Bottas vindt optreden in Abu Dhabi tekenend voor teleurstellend seizoen,Jos Verstappen: Max is gedurende F1-seizoen verstandiger gaan racen,,,,,,,,,,,,,,,,,,,,,,,,,,5
3862,Gaat de ozb omhoog of omlaag? Check het hier,"'Onroerendezaakbelasting in 2019 met 2,2 procent omhoog'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3290,Diewertje Dir heeft ook hoofdrol in vervolg op Superjuffie,Tweede deel Superjuffie in de maak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5006,Aantal meldingen van seksueel misbruik en discriminatie op scholen stijgt,"Vaker melding van misbruik op school, ondanks niet altijd duidelijke procedure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1180,Wijnaldum na heldenrol: 'We geloofden vanaf het eerste moment in stunt',Liverpool stunt dankzij Wijnaldum tegen Barça en staat in CL-finale,Weergaloze Wijnaldum leidt Liverpool naar Wonder van Anfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
4459,Müller na minutenlang bestuderen finishfoto winnaar Volta Limburg Classic,Volta Limburg Classic na fotofinish prooi voor Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
846,Verdachten van moord Humeyra spreken elkaar tegen over toedracht,"Eerste zitting tegen man die Humeyra (16) op school doodschoot, haar familie is erbij",Medeverdachte in moordzaak Humeyra (16) schreeuwt naar Bekir: ‘Was er sprake van ontvoering?’,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5112,Houden Arsenal en Chelsea de Engelse eer hoog in Europa?,Houden Arsenal en Chelsea de Engelse eer hoog in Europa League?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3108,Koningin Máxima aangekomen in Ethiopië voor werkbezoek,Verkeerspolitie Ethiopië houdt konvooi Máxima aan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
